Time(s), Pan(degree), ToF(mm)
1.24,1.0,121.0
1.44,2.0,115.0
1.64,3.0,115.0
1.84,4.0,111.0
2.04,5.0,112.0
2.24,6.0,108.0
2.45,7.0,109.0
2.65,8.0,110.0
2.85,9.0,111.0
3.05,10.0,108.0
3.25,11.0,110.0
3.45,12.0,110.0
3.65,13.0,107.0
3.86,14.0,108.0
4.06,15.0,107.0
4.26,16.0,108.0
4.46,17.0,108.0
4.66,18.0,107.0
4.86,19.0,108.0
5.07,20.0,105.0
5.27,21.0,106.0
5.47,22.0,106.0
5.67,23.0,103.0
5.87,24.0,104.0
6.07,25.0,103.0
6.28,26.0,102.0
6.48,27.0,105.0
6.68,28.0,104.0
6.88,29.0,105.0
7.08,30.0,104.0
7.28,31.0,103.0
7.48,32.0,103.0
7.69,33.0,101.0
7.89,34.0,104.0
8.09,35.0,103.0
8.29,36.0,103.0
8.49,37.0,100.0
8.69,38.0,101.0
8.9,39.0,100.0
9.1,40.0,101.0
9.3,41.0,99.0
9.5,42.0,99.0
9.7,43.0,103.0
9.9,44.0,107.0
10.1,45.0,107.0
10.31,46.0,114.0
10.51,47.0,119.0
10.71,48.0,127.0
10.91,49.0,136.0
11.11,50.0,151.0
11.31,51.0,164.0
11.52,52.0,200.0
11.72,53.0,194.0
11.92,54.0,285.0
12.12,55.0,291.0
12.32,56.0,422.0
12.52,57.0,422.0
12.73,58.0,507.0
12.93,59.0,521.0
13.13,60.0,530.0
13.33,61.0,522.0
13.53,62.0,523.0
13.73,63.0,538.0
13.94,64.0,531.0
14.14,65.0,542.0
14.34,66.0,528.0
14.54,67.0,540.0
14.74,68.0,496.0
14.94,69.0,501.0
15.14,70.0,476.0
15.35,71.0,400.0
15.55,72.0,352.0
15.75,73.0,291.0
15.95,74.0,282.0
16.15,75.0,221.0
16.35,76.0,215.0
16.56,77.0,194.0
16.76,78.0,174.0
16.96,79.0,162.0
17.16,80.0,142.0
17.36,81.0,127.0
17.56,82.0,134.0
17.76,83.0,125.0
17.97,84.0,125.0
18.17,85.0,115.0
18.37,86.0,125.0
18.57,87.0,140.0
18.77,88.0,139.0
18.97,89.0,139.0
19.18,90.0,166.0
19.38,91.0,161.0
19.58,90.0,162.0
19.78,89.0,142.0
19.98,88.0,137.0
20.18,87.0,119.0
20.39,86.0,125.0
20.59,85.0,124.0
20.79,84.0,129.0
20.99,83.0,131.0
21.19,82.0,119.0
21.39,81.0,139.0
21.6,80.0,144.0
21.8,79.0,145.0
22.0,78.0,168.0
22.2,77.0,197.0
22.4,76.0,212.0
22.6,75.0,258.0
22.8,74.0,237.0
23.01,73.0,282.0
23.21,72.0,333.0
23.41,71.0,340.0
23.61,70.0,475.0
23.81,69.0,528.0
24.01,68.0,526.0
24.22,67.0,532.0
24.42,66.0,572.0
24.62,65.0,579.0
24.82,64.0,566.0
25.02,63.0,604.0
25.22,62.0,587.0
25.43,61.0,550.0
25.63,60.0,567.0
25.83,59.0,537.0
26.03,58.0,518.0
26.23,57.0,414.0
26.43,56.0,434.0
26.64,55.0,265.0
26.84,54.0,258.0
27.04,53.0,180.0
27.24,52.0,164.0
27.44,51.0,152.0
27.64,50.0,151.0
27.84,49.0,130.0
28.05,48.0,121.0
28.25,47.0,113.0
28.45,46.0,112.0
28.65,45.0,110.0
28.85,44.0,103.0
29.06,43.0,101.0
29.26,42.0,99.0
29.46,41.0,102.0
29.66,40.0,99.0
29.86,39.0,98.0
30.06,38.0,101.0
30.26,37.0,102.0
30.47,36.0,103.0
30.67,35.0,103.0
30.87,34.0,102.0
31.07,33.0,102.0
31.27,32.0,104.0
31.47,31.0,105.0
31.68,30.0,103.0
31.88,29.0,105.0
32.08,28.0,104.0
32.28,27.0,106.0
32.48,26.0,103.0
32.68,25.0,104.0
32.88,24.0,103.0
33.09,23.0,103.0
33.29,22.0,106.0
33.49,21.0,106.0
33.69,20.0,104.0
33.89,19.0,107.0
34.1,18.0,106.0
34.3,17.0,107.0
34.5,16.0,107.0
34.7,15.0,110.0
34.9,14.0,110.0
35.1,13.0,108.0
35.31,12.0,107.0
35.51,11.0,108.0
35.71,10.0,112.0
35.91,9.0,109.0
36.11,8.0,109.0
36.31,7.0,107.0
36.51,6.0,109.0
36.72,5.0,109.0
36.92,4.0,111.0
37.12,3.0,114.0
37.32,2.0,114.0
37.52,1.0,120.0
37.72,0.0,123.0
