Time(s), Pan(degree), ToF(mm)
1.24,1.0,126.0
1.44,2.0,116.0
1.64,3.0,117.0
1.85,4.0,113.0
2.05,5.0,112.0
2.25,6.0,112.0
2.45,7.0,109.0
2.65,8.0,111.0
2.85,9.0,108.0
3.05,10.0,109.0
3.26,11.0,108.0
3.46,12.0,110.0
3.66,13.0,109.0
3.86,14.0,109.0
4.06,15.0,108.0
4.26,16.0,108.0
4.46,17.0,105.0
4.67,18.0,106.0
4.87,19.0,107.0
5.07,20.0,104.0
5.27,21.0,105.0
5.47,22.0,103.0
5.67,23.0,105.0
5.88,24.0,105.0
6.08,25.0,104.0
6.28,26.0,105.0
6.48,27.0,103.0
6.68,28.0,106.0
6.88,29.0,105.0
7.09,30.0,104.0
7.29,31.0,104.0
7.49,32.0,102.0
7.69,33.0,105.0
7.89,34.0,106.0
8.09,35.0,102.0
8.29,36.0,104.0
8.5,37.0,105.0
8.7,38.0,102.0
8.9,39.0,101.0
9.1,40.0,102.0
9.3,41.0,100.0
9.5,42.0,98.0
9.71,43.0,101.0
9.91,44.0,103.0
10.11,45.0,102.0
10.31,46.0,108.0
10.51,47.0,116.0
10.71,48.0,115.0
10.91,49.0,124.0
11.12,50.0,136.0
11.32,51.0,135.0
11.52,52.0,157.0
11.72,53.0,161.0
11.92,54.0,180.0
12.12,55.0,216.0
12.32,56.0,276.0
12.53,57.0,294.0
12.73,58.0,366.0
12.93,59.0,398.0
13.13,60.0,404.0
13.33,61.0,427.0
13.54,62.0,445.0
13.74,63.0,465.0
13.94,64.0,448.0
14.14,65.0,483.0
14.34,66.0,483.0
14.54,67.0,444.0
14.75,68.0,449.0
14.95,69.0,8190.0
15.15,70.0,8190.0
15.35,71.0,591.0
15.55,72.0,511.0
15.75,73.0,8190.0
15.95,74.0,8191.0
16.16,75.0,8191.0
16.36,76.0,8190.0
16.56,77.0,8190.0
16.76,78.0,8191.0
16.96,79.0,8190.0
17.17,80.0,8191.0
17.37,81.0,8191.0
17.57,82.0,8191.0
17.77,83.0,8190.0
17.97,84.0,8191.0
18.17,85.0,8190.0
18.37,86.0,8191.0
18.58,87.0,8190.0
18.78,88.0,8190.0
18.98,89.0,8191.0
19.18,90.0,8191.0
19.38,91.0,8190.0
19.58,90.0,8191.0
19.79,89.0,8191.0
19.99,88.0,8191.0
20.19,87.0,8191.0
20.39,86.0,8191.0
20.59,85.0,8190.0
20.79,84.0,8190.0
21.0,83.0,8190.0
21.2,82.0,8190.0
21.4,81.0,8190.0
21.6,80.0,302.0
21.8,79.0,8190.0
22.0,78.0,8190.0
22.21,77.0,395.0
22.41,76.0,372.0
22.61,75.0,396.0
22.81,74.0,390.0
23.01,73.0,413.0
23.21,72.0,426.0
23.42,71.0,8190.0
23.62,70.0,401.0
23.82,69.0,430.0
24.02,68.0,432.0
24.22,67.0,463.0
24.42,66.0,406.0
24.63,65.0,442.0
24.83,64.0,421.0
25.03,63.0,439.0
25.23,62.0,438.0
25.43,61.0,454.0
25.63,60.0,446.0
25.83,59.0,433.0
26.04,58.0,409.0
26.24,57.0,370.0
26.44,56.0,295.0
26.64,55.0,253.0
26.84,54.0,217.0
27.04,53.0,184.0
27.25,52.0,161.0
27.45,51.0,145.0
27.65,50.0,139.0
27.85,49.0,128.0
28.05,48.0,122.0
28.25,47.0,114.0
28.46,46.0,111.0
28.66,45.0,105.0
28.86,44.0,101.0
29.06,43.0,104.0
29.26,42.0,100.0
29.46,41.0,101.0
29.67,40.0,99.0
29.87,39.0,103.0
30.07,38.0,102.0
30.27,37.0,103.0
30.47,36.0,101.0
30.67,35.0,103.0
30.87,34.0,105.0
31.08,33.0,106.0
31.28,32.0,103.0
31.48,31.0,105.0
31.68,30.0,102.0
31.88,29.0,106.0
32.08,28.0,103.0
32.29,27.0,107.0
32.49,26.0,105.0
32.69,25.0,105.0
32.89,24.0,104.0
33.09,23.0,105.0
33.29,22.0,105.0
33.5,21.0,105.0
33.7,20.0,106.0
33.9,19.0,106.0
34.1,18.0,106.0
34.3,17.0,108.0
34.5,16.0,107.0
34.71,15.0,110.0
34.91,14.0,108.0
35.11,13.0,108.0
35.31,12.0,111.0
35.51,11.0,109.0
35.71,10.0,113.0
35.92,9.0,107.0
36.12,8.0,110.0
36.32,7.0,112.0
36.52,6.0,111.0
36.72,5.0,112.0
36.92,4.0,114.0
37.13,3.0,114.0
37.33,2.0,115.0
37.53,1.0,119.0
37.73,0.0,124.0
37.93,-1.0,123.0
38.13,0.0,126.0
38.33,1.0,123.0
38.54,2.0,115.0
38.74,3.0,116.0
38.94,4.0,111.0
39.14,5.0,114.0
39.34,6.0,111.0
39.54,7.0,110.0
39.75,8.0,110.0
39.95,9.0,106.0
40.15,10.0,112.0
40.35,11.0,111.0
40.55,12.0,110.0
40.75,13.0,110.0
40.95,14.0,109.0
41.16,15.0,106.0
41.36,16.0,106.0
41.56,17.0,108.0
41.76,18.0,106.0
41.96,19.0,105.0
42.16,20.0,103.0
42.37,21.0,103.0
42.57,22.0,104.0
42.77,23.0,103.0
42.97,24.0,105.0
43.17,25.0,105.0
43.37,26.0,104.0
43.58,27.0,104.0
43.78,28.0,103.0
43.98,29.0,103.0
44.18,30.0,103.0
44.38,31.0,102.0
44.58,32.0,104.0
44.79,33.0,105.0
44.99,34.0,102.0
45.19,35.0,105.0
45.39,36.0,103.0
45.59,37.0,104.0
45.79,38.0,103.0
46.0,39.0,102.0
46.2,40.0,102.0
46.4,41.0,100.0
46.6,42.0,100.0
46.8,43.0,98.0
47.0,44.0,104.0
47.2,45.0,103.0
47.41,46.0,106.0
47.61,47.0,119.0
47.81,48.0,118.0
48.01,49.0,131.0
48.21,50.0,142.0
48.41,51.0,143.0
48.62,52.0,175.0
48.82,53.0,187.0
49.02,54.0,204.0
49.22,55.0,271.0
49.42,56.0,317.0
49.62,57.0,316.0
49.83,58.0,387.0
50.03,59.0,397.0
50.23,60.0,403.0
50.43,61.0,437.0
50.63,62.0,456.0
50.83,63.0,494.0
51.04,64.0,511.0
51.24,65.0,496.0
51.44,66.0,484.0
51.64,67.0,432.0
51.84,68.0,414.0
52.04,69.0,406.0
52.24,70.0,416.0
52.45,71.0,412.0
52.65,72.0,397.0
52.85,73.0,8191.0
53.05,74.0,8191.0
53.25,75.0,8191.0
53.45,76.0,8191.0
53.66,77.0,8191.0
53.86,78.0,8191.0
54.06,79.0,8191.0
54.26,80.0,8191.0
54.46,81.0,8191.0
54.66,82.0,8190.0
54.87,83.0,8191.0
55.07,84.0,8190.0
55.27,85.0,8190.0
55.47,86.0,8191.0
55.67,87.0,8191.0
55.87,88.0,8191.0
56.08,89.0,8190.0
56.28,90.0,8191.0
56.48,91.0,8190.0
56.68,90.0,8191.0
56.88,89.0,8191.0
57.08,88.0,8191.0
57.29,87.0,8191.0
57.49,86.0,8190.0
57.69,85.0,8191.0
57.89,84.0,8191.0
58.09,83.0,8190.0
58.29,82.0,8191.0
58.5,81.0,8190.0
58.7,80.0,8191.0
58.9,79.0,658.0
59.1,78.0,8190.0
59.3,77.0,405.0
59.5,76.0,397.0
59.71,75.0,383.0
59.91,74.0,380.0
60.11,73.0,392.0
60.31,72.0,395.0
60.51,71.0,403.0
60.71,70.0,403.0
60.92,69.0,397.0
61.12,68.0,399.0
61.32,67.0,418.0
61.52,66.0,425.0
61.72,65.0,428.0
61.92,64.0,411.0
62.13,63.0,417.0
62.33,62.0,438.0
62.53,61.0,417.0
62.73,60.0,440.0
62.93,59.0,417.0
63.13,58.0,391.0
63.33,57.0,396.0
63.54,56.0,330.0
63.74,55.0,260.0
63.94,54.0,218.0
64.14,53.0,180.0
64.34,52.0,181.0
64.54,51.0,148.0
64.75,50.0,144.0
64.95,49.0,129.0
65.15,48.0,120.0
65.35,47.0,114.0
65.55,46.0,108.0
65.75,45.0,111.0
65.95,44.0,104.0
66.16,43.0,102.0
66.36,42.0,102.0
66.56,41.0,100.0
66.76,40.0,100.0
66.96,39.0,103.0
67.16,38.0,100.0
67.37,37.0,103.0
67.57,36.0,104.0
67.77,35.0,104.0
67.97,34.0,101.0
68.17,33.0,103.0
68.37,32.0,104.0
68.58,31.0,102.0
68.78,30.0,105.0
68.98,29.0,104.0
69.18,28.0,102.0
69.38,27.0,103.0
69.58,26.0,106.0
69.79,25.0,105.0
69.99,24.0,105.0
70.19,23.0,107.0
70.39,22.0,104.0
70.59,21.0,107.0
70.79,20.0,105.0
71.0,19.0,107.0
71.2,18.0,106.0
71.4,17.0,110.0
71.6,16.0,109.0
71.8,15.0,107.0
72.0,14.0,111.0
72.2,13.0,109.0
72.41,12.0,111.0
72.61,11.0,111.0
72.81,10.0,111.0
73.01,9.0,110.0
73.21,8.0,111.0
73.41,7.0,112.0
73.62,6.0,110.0
73.82,5.0,112.0
74.02,4.0,113.0
74.22,3.0,116.0
74.42,2.0,115.0
74.62,1.0,119.0
74.82,0.0,123.0
75.03,-1.0,123.0
75.23,0.0,121.0
75.43,1.0,124.0
75.63,2.0,119.0
75.83,3.0,118.0
76.04,4.0,113.0
76.24,5.0,110.0
76.44,6.0,109.0
76.64,7.0,110.0
76.84,8.0,110.0
77.04,9.0,108.0
77.24,10.0,110.0
77.45,11.0,111.0
77.65,12.0,110.0
77.85,13.0,110.0
78.05,14.0,108.0
78.25,15.0,109.0
78.45,16.0,107.0
78.65,17.0,108.0
78.86,18.0,107.0
79.06,19.0,107.0
79.26,20.0,106.0
79.46,21.0,106.0
79.66,22.0,108.0
79.86,23.0,105.0
80.07,24.0,106.0
80.27,25.0,105.0
80.47,26.0,103.0
80.67,27.0,104.0
80.87,28.0,104.0
81.07,29.0,104.0
81.28,30.0,103.0
81.48,31.0,106.0
81.68,32.0,101.0
81.88,33.0,104.0
82.08,34.0,103.0
82.28,35.0,104.0
82.49,36.0,104.0
82.69,37.0,103.0
82.89,38.0,103.0
83.09,39.0,102.0
83.29,40.0,101.0
83.49,41.0,103.0
83.69,42.0,100.0
83.9,43.0,102.0
84.1,44.0,102.0
84.3,45.0,105.0
84.5,46.0,108.0
84.7,47.0,113.0
84.9,48.0,115.0
85.11,49.0,133.0
85.31,50.0,137.0
85.51,51.0,139.0
85.71,52.0,161.0
85.91,53.0,162.0
86.11,54.0,193.0
86.32,55.0,238.0
86.52,56.0,304.0
86.72,57.0,315.0
86.92,58.0,407.0
87.12,59.0,413.0
87.32,60.0,470.0
87.53,61.0,496.0
87.73,62.0,483.0
87.93,63.0,488.0
88.13,64.0,476.0
88.33,65.0,486.0
88.54,66.0,515.0
88.73,67.0,441.0
88.94,68.0,470.0
89.14,69.0,8190.0
89.34,70.0,488.0
89.54,71.0,8191.0
89.74,72.0,8190.0
89.95,73.0,8190.0
90.15,74.0,8191.0
90.35,75.0,8190.0
90.55,76.0,8191.0
90.75,77.0,8190.0
90.95,78.0,8191.0
91.16,79.0,8190.0
91.36,80.0,8190.0
91.56,81.0,8190.0
91.76,82.0,8191.0
91.96,83.0,8190.0
92.16,84.0,8190.0
92.36,85.0,8190.0
92.57,86.0,8191.0
92.77,87.0,8191.0
92.97,88.0,8191.0
93.17,89.0,8191.0
93.37,90.0,8191.0
93.58,91.0,8190.0
93.78,90.0,8191.0
93.98,89.0,8190.0
94.18,88.0,8191.0
94.38,87.0,8191.0
94.58,86.0,8190.0
94.79,85.0,8190.0
94.99,84.0,8191.0
95.19,83.0,8190.0
95.39,82.0,8191.0
95.59,81.0,8190.0
95.79,80.0,8191.0
96.0,79.0,8190.0
96.2,78.0,8190.0
96.4,77.0,8190.0
96.6,76.0,8191.0
96.8,75.0,8190.0
97.0,74.0,8191.0
97.21,73.0,8190.0
97.41,72.0,8191.0
97.61,71.0,8190.0
97.81,70.0,8191.0
98.01,69.0,8190.0
98.21,68.0,499.0
98.41,67.0,462.0
98.62,66.0,480.0
98.82,65.0,505.0
99.02,64.0,8190.0
99.22,63.0,473.0
99.42,62.0,503.0
99.62,61.0,451.0
99.83,60.0,468.0
